id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,address,_geom,EGID
3001314971,ig6dw.46r3z,rent,2021-09-30T14:31:08,,4,520,,,,19,,Blumenbergplatz 5,St. Gallen,9000,"Blumenbergplatz 5, 9000 St. Gallen",POINT (9.373247146606445 47.42692947387695),1073079_0
3001087436,146.1.10.800384.d8ee1213-8011-11eb-8e73-005056bdbc06,rent,2021-09-30T14:31:08,,3,550,,,,,,Linsebühlstrasse 18,St. Gallen,9000,"Linsebühlstrasse 18, 9000 St. Gallen",POINT (9.381048202514648 47.42434310913086),1073523_0
3001237053,152801.01.00402,rent,2021-09-30T14:31:08,,4,530,,,,28,1962,Vonwilstr. 15,St. Gallen,9000,"Vonwilstr. 15, 9000 St. Gallen",POINT (9.35889720916748 47.417083740234375),1070167_0
3001051234,10738.10738.1012,rent,2021-09-30T14:31:08,,1,600,,,,,,Brauerstrasse 3,St. Gallen,9000,"Brauerstrasse 3, 9000 St. Gallen",POINT (9.399625778198242 47.43373107910156),1076226_0
3000763958,StGallen,rent,2021-09-30T14:31:08,,,550,,,,,,Schützengasse,St. Gallen,9000,"Schützengasse, 9000 St. Gallen",POINT (9.372462272644043 47.42345428466797),1072433_0
3001381704,51219.01.6001,rent,2021-09-30T14:31:08,,5,100,,,,,1905,Burggraben 26,St. Gallen,9000,"Burggraben 26, 9000 St. Gallen",POINT (9.379447937011719 47.4248161315918),1072608_0
3001292565,Linsen68.16841,rent,2021-09-30T14:31:08,,1,475,,,,,,Linsenbühlstrasse 68,St. Gallen,9000,"Linsenbühlstrasse 68, 9000 St. Gallen",,
3001209766,050-07.07.830758.b9c75053-b227-11eb-820b-005056bdbc06,rent,2021-09-30T14:31:08,,4,1850,,,,101,2000,Oberer Graben 37,St. Gallen,9000,"Oberer Graben 37, 9000 St. Gallen",POINT (9.374848365783691 47.4225959777832),2363693_0
3001356440,Z213WHG4OG,rent,2021-09-30T14:31:08,,4,390,,,,45,,Zürcherstr. 213,St. Gallen,9000,"Zürcherstr. 213, 9000 St. Gallen",,
3001208734,040-05.07.857503.0691d98a-e607-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:08,,2,1600,,,,90,1977,Schorenstrasse 74,St. Gallen,9000,"Schorenstrasse 74, 9000 St. Gallen",POINT (9.365180015563965 47.427799224853516),1070889_0
3001334101,1ik89.wbz1b,rent,2021-09-30T14:31:08,,1,2045,195,1850,,98,2016,Rappensteinstrasse 23,St. Gallen,9000,"Rappensteinstrasse 23, 9000 St. Gallen",POINT (9.399984359741211 47.431297302246094),1075860_1
3001303010,2060-3011.872880.7c513451-0718-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:08,,1,1630,,,,122,,Dietlistrasse 6,St. Gallen,9000,"Dietlistrasse 6, 9000 St. Gallen",POINT (9.358914375305176 47.42341995239258),1070637_0
3001279823,45792169,rent,2021-09-30T14:31:08,,,1490,,,,80,,Solitüdenstrasse 1,St. Gallen,9012,"Solitüdenstrasse 1, 9012 St. Gallen",POINT (9.364049911499023 47.41261672973633),1071466_0
3000888275,ZX429008,rent,2021-09-30T14:31:09,,2,1240,,,,71,,Langgasse 70,St. Gallen,9008,"Langgasse 70, 9008 St. Gallen",POINT (9.390488624572754 47.438804626464844),1074945_0
3001166252,1026.1.1005,rent,2021-09-30T14:31:09,,GF,1590,210,1380,,82,1965,Obere Berneggstrasse 79,St. Gallen,9012,"Obere Berneggstrasse 79, 9012 St. Gallen",POINT (9.366862297058105 47.41283416748047),1071537_0
