id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip
3001314971,ig6dw.46r3z,rent,2021-09-30T14:31:08.316264,,4,520,,,,19,,Blumenbergplatz 5,St. Gallen,9000
3001087436,146.1.10.800384.d8ee1213-8011-11eb-8e73-005056bdbc06,rent,2021-09-30T14:31:08.376172,,3,550,,,,,,Linsebühlstrasse 18,St. Gallen,9000
3001237053,152801.01.00402,rent,2021-09-30T14:31:08.396096,,4,530,,,,28,1962,Vonwilstr. 15,St. Gallen,9000
3001051234,10738.10738.1012,rent,2021-09-30T14:31:08.452852,,1,600,,,,,,Brauerstrasse 3,St. Gallen,9000
3000763958,StGallen,rent,2021-09-30T14:31:08.540689,,,550,,,,,,Schützengasse,St. Gallen,9000
3001381704,51219.01.6001,rent,2021-09-30T14:31:08.595315,,5,100,,,,,1905,Burggraben 26,St. Gallen,9000
3001292565,Linsen68.16841,rent,2021-09-30T14:31:08.617437,,1,475,,,,,,Linsenbühlstrasse 68,St. Gallen,9000
3001209766,050-07.07.830758.b9c75053-b227-11eb-820b-005056bdbc06,rent,2021-09-30T14:31:08.636397,,4,1850,,,,101,2000,Oberer Graben 37,St. Gallen,9000
3001356440,Z213WHG4OG,rent,2021-09-30T14:31:08.666684,,4,390,,,,45,,Zürcherstr. 213,St. Gallen,9000
3001208734,040-05.07.857503.0691d98a-e607-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:08.686526,,2,1600,,,,90,1977,Schorenstrasse 74,St. Gallen,9000
3001334101,1ik89.wbz1b,rent,2021-09-30T14:31:08.709656,,1,2045,195,1850,,98,2016,Rappensteinstrasse 23,St. Gallen,9000
3001303010,2060-3011.872880.7c513451-0718-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:08.737279,,1,1630,,,,122,,Dietlistrasse 6,St. Gallen,9000
3001279823,45792169,rent,2021-09-30T14:31:08.787412,,,1490,,,,80,,Solitüdenstrasse 1,St. Gallen,9012
3000888275,ZX429008,rent,2021-09-30T14:31:09.044936,,2,1240,,,,71,,Langgasse 70,St. Gallen,9008
3001166252,1026.1.1005,rent,2021-09-30T14:31:09.058203,,GF,1590,210,1380,,82,1965,Obere Berneggstrasse 79,St. Gallen,9012
