date,all,nonregular,regular,week_start,week_end,direction
,502,406,95,2021-06-14,2021-06-20,inward
,605,488,117,2021-06-14,2021-06-20,inward
,765,638,127,2021-06-14,2021-06-20,inward
,571,465,106,2021-06-14,2021-06-20,inward
,608,525,82,2021-06-14,2021-06-20,inward
,591,551,40,2021-06-14,2021-06-20,inward
,376,357,,2021-06-14,2021-06-20,inward
,505,414,91,2021-06-14,2021-06-20,outward
,543,441,101,2021-06-14,2021-06-20,outward
,773,670,103,2021-06-14,2021-06-20,outward
,582,492,90,2021-06-14,2021-06-20,outward
,641,562,79,2021-06-14,2021-06-20,outward
,578,525,53,2021-06-14,2021-06-20,outward
,406,378,28,2021-06-14,2021-06-20,outward
