date,all,nonregular,regular,week_start,week_end,direction
2021-06-14T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T06:00:00,25,21,,2021-06-14,2021-06-20,inward
2021-06-14T07:00:00,28,,,2021-06-14,2021-06-20,inward
2021-06-14T08:00:00,32,28,,2021-06-14,2021-06-20,inward
2021-06-14T09:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-14T10:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T11:00:00,38,28,,2021-06-14,2021-06-20,inward
2021-06-14T12:00:00,46,38,,2021-06-14,2021-06-20,inward
2021-06-14T13:00:00,28,26,,2021-06-14,2021-06-20,inward
2021-06-14T14:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-14T15:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-14T16:00:00,35,24,,2021-06-14,2021-06-20,inward
2021-06-14T17:00:00,38,25,,2021-06-14,2021-06-20,inward
2021-06-14T18:00:00,47,44,,2021-06-14,2021-06-20,inward
2021-06-14T19:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-14T20:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-14T21:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-14T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T06:00:00,31,27,,2021-06-14,2021-06-20,inward
2021-06-15T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T08:00:00,36,28,,2021-06-14,2021-06-20,inward
2021-06-15T09:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T10:00:00,37,31,,2021-06-14,2021-06-20,inward
2021-06-15T11:00:00,39,35,,2021-06-14,2021-06-20,inward
2021-06-15T12:00:00,55,38,,2021-06-14,2021-06-20,inward
2021-06-15T13:00:00,38,36,,2021-06-14,2021-06-20,inward
2021-06-15T14:00:00,40,33,,2021-06-14,2021-06-20,inward
2021-06-15T15:00:00,38,32,,2021-06-14,2021-06-20,inward
2021-06-15T16:00:00,40,32,,2021-06-14,2021-06-20,inward
2021-06-15T17:00:00,53,34,,2021-06-14,2021-06-20,inward
2021-06-15T18:00:00,40,30,,2021-06-14,2021-06-20,inward
2021-06-15T19:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T20:00:00,29,27,,2021-06-14,2021-06-20,inward
2021-06-15T21:00:00,22,,,2021-06-14,2021-06-20,inward
2021-06-15T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T07:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-16T08:00:00,32,28,,2021-06-14,2021-06-20,inward
2021-06-16T09:00:00,22,,,2021-06-14,2021-06-20,inward
2021-06-16T10:00:00,34,32,,2021-06-14,2021-06-20,inward
2021-06-16T11:00:00,53,47,,2021-06-14,2021-06-20,inward
2021-06-16T12:00:00,42,38,,2021-06-14,2021-06-20,inward
2021-06-16T13:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T14:00:00,36,30,,2021-06-14,2021-06-20,inward
2021-06-16T15:00:00,24,,,2021-06-14,2021-06-20,inward
2021-06-16T16:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-16T17:00:00,79,56,23,2021-06-14,2021-06-20,inward
2021-06-16T18:00:00,116,95,21,2021-06-14,2021-06-20,inward
2021-06-16T19:00:00,93,85,,2021-06-14,2021-06-20,inward
2021-06-16T20:00:00,71,65,,2021-06-14,2021-06-20,inward
2021-06-16T21:00:00,30,28,,2021-06-14,2021-06-20,inward
2021-06-16T22:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-16T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T08:00:00,23,21,,2021-06-14,2021-06-20,inward
2021-06-17T09:00:00,30,24,,2021-06-14,2021-06-20,inward
2021-06-17T10:00:00,26,22,,2021-06-14,2021-06-20,inward
2021-06-17T11:00:00,43,35,,2021-06-14,2021-06-20,inward
2021-06-17T12:00:00,39,28,,2021-06-14,2021-06-20,inward
2021-06-17T13:00:00,33,26,,2021-06-14,2021-06-20,inward
2021-06-17T14:00:00,37,32,,2021-06-14,2021-06-20,inward
2021-06-17T15:00:00,40,32,,2021-06-14,2021-06-20,inward
