ref_id,inward_all,inward_nonregular,inward_regular,outward_all,outward_nonregular,outward_regular
9000,1211,1033,178,1186,1030,155
9008,771,683,88,798,732,65
9010,162,147,,126,118,
9011,48,44,,56,50,
9014,89,73,,71,59,
9015,116,90,26,111,79,31
9016,301,269,32,307,276,31
9030,24,24,,41,34,
9037,24,22,,,,
9042,28,24,,44,35,
9053,21,,,,,
9100,21,21,,42,38,
9200,82,49,32,77,58,
9230,,,,29,,
9300,115,104,,132,114,
9320,48,48,,38,34,
9323,23,,,22,,
9400,68,50,,68,55,
9402,50,48,,62,60,
9403,53,48,,39,39,
9404,34,,,31,,
9500,31,29,,30,26,
