ref_id,ref,count,week_start,week_end,direction,reason
9000,9000,1211,2021-06-14,2021-06-20,inward,all
9008,9008,771,2021-06-14,2021-06-20,inward,all
9016,9016,301,2021-06-14,2021-06-20,inward,all
9010,9010,162,2021-06-14,2021-06-20,inward,all
9015,9015,116,2021-06-14,2021-06-20,inward,all
9300,9300,115,2021-06-14,2021-06-20,inward,all
9014,9014,89,2021-06-14,2021-06-20,inward,all
9200,9200,82,2021-06-14,2021-06-20,inward,all
9400,9400,68,2021-06-14,2021-06-20,inward,all
9403,9403,53,2021-06-14,2021-06-20,inward,all
9402,9402,50,2021-06-14,2021-06-20,inward,all
9320,9320,48,2021-06-14,2021-06-20,inward,all
9011,9011,48,2021-06-14,2021-06-20,inward,all
9404,9404,34,2021-06-14,2021-06-20,inward,all
9500,9500,31,2021-06-14,2021-06-20,inward,all
9042,9042,28,2021-06-14,2021-06-20,inward,all
9030,9030,24,2021-06-14,2021-06-20,inward,all
9037,9037,24,2021-06-14,2021-06-20,inward,all
9323,9323,23,2021-06-14,2021-06-20,inward,all
9100,9100,21,2021-06-14,2021-06-20,inward,all
9053,9053,21,2021-06-14,2021-06-20,inward,all
9000,9000,178,2021-06-14,2021-06-20,inward,regular
9008,9008,88,2021-06-14,2021-06-20,inward,regular
9200,9200,32,2021-06-14,2021-06-20,inward,regular
9016,9016,32,2021-06-14,2021-06-20,inward,regular
9015,9015,26,2021-06-14,2021-06-20,inward,regular
9000,9000,1033,2021-06-14,2021-06-20,inward,nonregular
9008,9008,683,2021-06-14,2021-06-20,inward,nonregular
9016,9016,269,2021-06-14,2021-06-20,inward,nonregular
9010,9010,147,2021-06-14,2021-06-20,inward,nonregular
9300,9300,104,2021-06-14,2021-06-20,inward,nonregular
9015,9015,90,2021-06-14,2021-06-20,inward,nonregular
9014,9014,73,2021-06-14,2021-06-20,inward,nonregular
9400,9400,50,2021-06-14,2021-06-20,inward,nonregular
9200,9200,49,2021-06-14,2021-06-20,inward,nonregular
9320,9320,48,2021-06-14,2021-06-20,inward,nonregular
9402,9402,48,2021-06-14,2021-06-20,inward,nonregular
9403,9403,48,2021-06-14,2021-06-20,inward,nonregular
9011,9011,44,2021-06-14,2021-06-20,inward,nonregular
9500,9500,29,2021-06-14,2021-06-20,inward,nonregular
9030,9030,24,2021-06-14,2021-06-20,inward,nonregular
9042,9042,24,2021-06-14,2021-06-20,inward,nonregular
9037,9037,22,2021-06-14,2021-06-20,inward,nonregular
9100,9100,21,2021-06-14,2021-06-20,inward,nonregular
9000,9000,1186,2021-06-14,2021-06-20,outward,all
9008,9008,798,2021-06-14,2021-06-20,outward,all
9016,9016,307,2021-06-14,2021-06-20,outward,all
9300,9300,132,2021-06-14,2021-06-20,outward,all
9010,9010,126,2021-06-14,2021-06-20,outward,all
9015,9015,111,2021-06-14,2021-06-20,outward,all
9200,9200,77,2021-06-14,2021-06-20,outward,all
9014,9014,71,2021-06-14,2021-06-20,outward,all
9400,9400,68,2021-06-14,2021-06-20,outward,all
9402,9402,62,2021-06-14,2021-06-20,outward,all
9011,9011,56,2021-06-14,2021-06-20,outward,all
9042,9042,44,2021-06-14,2021-06-20,outward,all
9100,9100,42,2021-06-14,2021-06-20,outward,all
9030,9030,41,2021-06-14,2021-06-20,outward,all
9403,9403,39,2021-06-14,2021-06-20,outward,all
9320,9320,38,2021-06-14,2021-06-20,outward,all
9404,9404,31,2021-06-14,2021-06-20,outward,all
9500,9500,30,2021-06-14,2021-06-20,outward,all
9230,9230,29,2021-06-14,2021-06-20,outward,all
9323,9323,22,2021-06-14,2021-06-20,outward,all
9000,9000,155,2021-06-14,2021-06-20,outward,regular
9008,9008,65,2021-06-14,2021-06-20,outward,regular
9015,9015,31,2021-06-14,2021-06-20,outward,regular
9016,9016,31,2021-06-14,2021-06-20,outward,regular
9000,9000,1030,2021-06-14,2021-06-20,outward,nonregular
9008,9008,732,2021-06-14,2021-06-20,outward,nonregular
9016,9016,276,2021-06-14,2021-06-20,outward,nonregular
9010,9010,118,2021-06-14,2021-06-20,outward,nonregular
9300,9300,114,2021-06-14,2021-06-20,outward,nonregular
9015,9015,79,2021-06-14,2021-06-20,outward,nonregular
9402,9402,60,2021-06-14,2021-06-20,outward,nonregular
9014,9014,59,2021-06-14,2021-06-20,outward,nonregular
9200,9200,58,2021-06-14,2021-06-20,outward,nonregular
9400,9400,55,2021-06-14,2021-06-20,outward,nonregular
9011,9011,50,2021-06-14,2021-06-20,outward,nonregular
9403,9403,39,2021-06-14,2021-06-20,outward,nonregular
9100,9100,38,2021-06-14,2021-06-20,outward,nonregular
9042,9042,35,2021-06-14,2021-06-20,outward,nonregular
9030,9030,34,2021-06-14,2021-06-20,outward,nonregular
9320,9320,34,2021-06-14,2021-06-20,outward,nonregular
9500,9500,26,2021-06-14,2021-06-20,outward,nonregular
