id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc
108761792,hgok2876852,rent,2021-10-12 19:06:18,,4,1745,200.0,1545.0,,100.0,1900.0,Berneggstrasse 28,St. Gallen,9000.0,47.4208984375,9.37622547149658,POINT (9.376225471496582 47.4208984375),9003527.0,0.0384615384615384,9003527.0,False,,,,,,,,True,204.0,Centrum,St.Georgen,St.Georgen-Bernegg
2147994348,44.53.3003.499622.e75b7976-c57b-11e9-9cb0-a4bf01195aaa,rent,2021-10-12 19:08:41,,3,1720,,,,72.0,2017.0,Heiligkreuzstrasse 53,St. Gallen,9008.0,47.4404067993164,9.3939847946167,POINT (9.3939847946167 47.440406799316406),191521871.0,0.0,191521871.0,False,66.0,58.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000166218,21301.01.420030,rent,2021-10-12 20:47:01,,2,1150,,,,87.0,,Lindenstrasse 76,St. Gallen,9000.0,47.4330558776855,9.39382934570312,POINT (9.393829345703125 47.43305587768555),1076110.0,0.0609756097560976,1076110.0,False,60.0,48.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,303.0,Osten,St.Fiden,St.Fiden-Krontal
3000251780,hgoe3023792,rent,2021-10-13 07:27:31,,2,1390,,,,80.0,,Feldlistrasse 11,St. Gallen,9000.0,47.4216995239258,9.35613536834717,POINT (9.356135368347168 47.42169952392578),1070469.0,0.111111111111111,1070469.0,False,60.0,48.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,113.0,Westen,Lachen,Vonwil-Lachen-Schoren
3000275851,F62,rent,2021-10-12 20:47:03,,2,1180,,,,,1900.0,Falkensteinstrasse 62,St. Gallen,9000.0,47.4310455322266,9.39756965637207,POINT (9.39756965637207 47.43104553222656),1075915.0,,1075915.0,False,,,,,,,,True,303.0,Osten,St.Fiden,St.Fiden-Krontal
3000372352,ZXW119000,rent,2021-10-12 19:05:07,,2,840,,,,16.0,,Waldaustrasse 5,St. Gallen,9000.0,47.4201049804688,9.35318374633789,POINT (9.35318374633789 47.42010498046875),1070378.0,0.0,1070378.0,False,,,,,,,,True,113.0,Westen,Lachen,Vonwil-Lachen-Schoren
3000402506,03159.01.0132,rent,2021-10-12 19:06:30,,3,2130,240.0,1890.0,,97.0,1920.0,Goliathgasse 37,St. Gallen,9000.0,47.4279747009277,9.37712287902832,POINT (9.37712287902832 47.427974700927734),1072768.0,0.0,1072768.0,False,64.0,57.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,206.0,Centrum,Innenstadt,Altstadt
3000494951,51211.01.0201,rent,2021-10-12 20:45:42,,2,1440,340.0,1100.0,,97.0,1964.0,Bruggwaldstr. 1,St. Gallen,9008.0,47.4425010681152,9.39405155181885,POINT (9.394051551818848 47.442501068115234),,,,,,,,,,,,,,,,
3000538335,44031.01.430030,rent,2021-10-12 20:48:13,,3,1330,,,,90.0,,Oberstrasse 87,St. Gallen,9000.0,47.4164085388184,9.36261463165283,POINT (9.362614631652832 47.41640853881836),1071724.0,0.0344827586206897,1071724.0,True,66.0,56.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,203.0,Centrum,Riethüsli,Riethüsli
3000688515,23037.02.410020,rent,2021-10-12 20:45:41,,1,1200,,,,77.0,,Langgasse 155,St. Gallen,9008.0,47.449348449707,9.39771270751953,POINT (9.397712707519531 47.44934844970703),1075536.0,0.0,1075536.0,False,66.0,57.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000763958,StGallen,rent,2021-10-12 19:05:02,,,550,,,,,,Schützengasse,St. Gallen,9000.0,47.423454284668,9.37246227264404,POINT (9.372462272644043 47.42345428466797),1072433.0,,1072433.0,False,65.0,48.0,ES III,Arbeiten,≤PW,≤PW,≤PW,True,205.0,Centrum,Innenstadt,St.Leonhard-Ost
3000768247,58.2..754267.77e7146c-2f15-11eb-b716-005056bdbc06,rent,2021-10-12 23:30:43,,3,910,,,,,,Röschstr. 9,St. Gallen,9000.0,47.4322547912598,9.39995670318604,POINT (9.399956703186035 47.432254791259766),1075808.0,,1075808.0,False,51.0,40.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,303.0,Osten,St.Fiden,St.Fiden-Krontal
3000780700,xupkr.x371g,rent,2021-10-12 19:38:44,,2,1120,150.0,970.0,,85.0,1980.0,Oberstrasse 123,St. Gallen,9000.0,47.4147109985352,9.35912609100342,POINT (9.359126091003418 47.414710998535156),1069843.0,0.118421052631579,1069843.0,False,64.0,55.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,111.0,Westen,Bruggen,Haggen-Oberstrasse-Langweid
3000826878,10296.1.1001.1,rent,2021-10-12 19:38:36,,GF,1010,,,,,,Andreasstr. 2,St. Gallen,9000.0,47.4208297729492,9.3558349609375,POINT (9.3558349609375 47.42082977294922),1070457.0,,1070457.0,False,49.0,42.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,113.0,Westen,Lachen,Vonwil-Lachen-Schoren
3000830705,23029.02.410010,rent,2021-10-12 23:17:47,,1,1540,190.0,1350.0,,84.0,1976.0,Sonnrainweg 6,St. Gallen,9008.0,47.4482727050781,9.39763641357422,POINT (9.397636413574219 47.448272705078125),1075538.0,0.4,1075538.0,True,62.0,53.0,ES II,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000836173,Langgasse.89.1402,rent,2021-10-12 19:05:08,,4,1090,,,,76.0,,Langgasse 89,St. Gallen,9008.0,47.4400329589844,9.39156341552734,POINT (9.391563415527344 47.440032958984375),1075179.0,0.155555555555556,1075179.0,False,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000861228,23030.02.410010,rent,2021-10-12 23:30:39,,1,1540,190.0,1350.0,,84.0,1976.0,Sonnrainweg 12,St. Gallen,9008.0,47.4477005004883,9.39766311645508,POINT (9.397663116455078 47.44770050048828),1075528.0,0.4,1075528.0,True,53.0,44.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000872761,3644.03.0002,rent,2021-10-12 19:38:48,,GF,1180,180.0,1000.0,,47.0,1919.0,Linsebühlstrasse 16,St. Gallen,9000.0,47.4243240356445,9.38075637817383,POINT (9.380756378173828 47.42432403564453),1073522.0,0.0930232558139534,1073522.0,True,66.0,55.0,ES III,Wohnen,">IGW, <AW",">PW, ≤IGW",">IGW, <AW",False,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3000873636,108402.02.00006,rent,2021-10-12 19:08:58,,GF,1640,,,,83.0,1920.0,Ludwigstr. 21,St. Gallen,9010.0,47.4412498474121,9.37837314605713,POINT (9.378373146057129 47.44124984741211),1074636.0,0.0,1074636.0,False,,,,,,,,True,301.0,Osten,Rotmonten,Rotmonten
3000873652,153401.01.00203,rent,2021-10-12 19:38:50,,2,900,,,,71.0,1920.0,Tschudistr. 36,St. Gallen,9000.0,47.4163856506348,9.36409378051758,POINT (9.364093780517578 47.416385650634766),1071742.0,0.0142857142857142,1071742.0,False,,,,,,,,True,203.0,Centrum,Riethüsli,Riethüsli
3000873750,148101.01.00102,rent,2021-10-12 20:46:55,,1,1150,,,,77.0,1958.0,St. Georgen-Str. 39,St. Gallen,9000.0,47.4195594787598,9.37901306152344,POINT (9.379013061523438 47.419559478759766),1073294.0,0.0,1073294.0,False,63.0,53.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3000883584,2380.1.10140,rent,2021-10-12 19:59:59,,2,850,,,,,,Iddastr. 19,St. Gallen,9008.0,47.436710357666,9.38644790649414,POINT (9.38644790649414 47.436710357666016),1075257.0,,1075257.0,False,,,,,,,,True,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000888275,ZX429008,rent,2021-10-12 20:00:06,,2,1240,,,,71.0,,Langgasse 70,St. Gallen,9008.0,47.4388046264648,9.39048862457275,POINT (9.390488624572754 47.438804626464844),1074945.0,0.323809523809524,1074945.0,False,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000915459,10296.1.1007,rent,2021-10-13 09:12:46,,2,1240,180.0,1060.0,,,,Andreasstrasse 2,St. Gallen,9000.0,47.4208297729492,9.3558349609375,POINT (9.3558349609375 47.42082977294922),1070457.0,,1070457.0,False,49.0,42.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,113.0,Westen,Lachen,Vonwil-Lachen-Schoren
3000922116,verwaltung,rent,2021-10-12 20:46:53,,4,1454,194.0,1260.0,,85.0,1968.0,Dianastrasse 10,St. Gallen,9000.0,47.4327964782715,9.38241004943848,POINT (9.382410049438477 47.432796478271484),1072947.0,0.37037037037037,1072947.0,True,58.0,51.0,ES III,Wohnen,≤PW,">PW, ≤IGW",">PW, ≤IGW",False,207.0,Centrum,St.Jakob,St.Jakob
3000924363,10254.1.1004.1,rent,2021-10-12 19:07:37,,1,790,,,,60.0,,Brauerstrasse 5,St. Gallen,9000.0,47.4337387084961,9.39980602264404,POINT (9.399806022644043 47.433738708496094),1076227.0,0.5,1076227.0,False,62.0,55.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,303.0,Osten,St.Fiden,St.Fiden-Krontal
3000929497,3015532,rent,2021-10-13 09:12:50,,3,1250,170.0,1080.0,,80.0,,Eisengasse 3,St. Gallen,9000.0,47.4253387451172,9.38271808624268,POINT (9.382718086242676 47.42533874511719),1073608.0,0.0666666666666667,1073608.0,False,,,,,,,,True,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3000939647,139101.02.00102,rent,2021-10-12 19:08:57,,1,1550,,,,91.0,1950.0,Ludwigstr. 17,St. Gallen,9010.0,47.4409484863281,9.37808418273926,POINT (9.378084182739258 47.440948486328125),1074634.0,0.0,1074634.0,False,,,,,,,,True,301.0,Osten,Rotmonten,Rotmonten
3000943788,10033.1.1041,rent,2021-10-12 20:47:02,,4,1370,140.0,1230.0,,69.0,1924.0,Buchentalstrasse 5,St. Gallen,9000.0,47.4334945678711,9.39832019805908,POINT (9.398320198059082 47.433494567871094),1076203.0,0.0,1076203.0,False,62.0,50.0,ES II,Wohnen,">IGW, <AW",">PW, ≤IGW",">IGW, <AW",False,303.0,Osten,St.Fiden,St.Fiden-Krontal
3000946773,05902.01.0005,rent,2021-10-12 23:17:47,,2,1540,280.0,1260.0,,85.0,1959.0,Langgasse 92,St. Gallen,9008.0,47.4403915405273,9.39240264892578,POINT (9.392402648925781 47.440391540527344),1075154.0,0.0240963855421688,1075154.0,False,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302.0,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000946809,07006.01.1301,rent,2021-10-13 07:22:03,,3,1400,250.0,1150.0,,80.0,1920.0,Feldbachstrasse 10,St. Gallen,9000.0,47.4207611083984,9.3547191619873,POINT (9.354719161987305 47.42076110839844),1070846.0,0.0804597701149425,1070846.0,False,,,,,,,,True,113.0,Westen,Lachen,Vonwil-Lachen-Schoren
3000955021,8613.01.0312,rent,2021-10-12 19:08:59,,1,2120,305.0,1815.0,,117.0,1963.0,Sonnenhaldenstrasse 64,St. Gallen,9010.0,47.4397735595703,9.38191032409668,POINT (9.38191032409668 47.43977355957031),1074363.0,0.0,1074363.0,True,59.0,44.0,ES II,Wohnen,">PW, ≤IGW",≤PW,">PW, ≤IGW",False,301.0,Osten,Rotmonten,Rotmonten
3000969216,Helvetiastr 41 06.807929.649217a9-88c4-11eb-a60b-005056bdbc06,rent,2021-10-12 23:30:43,,1,910,,,,45.0,,Helvetiastrasse 41,St. Gallen,9000.0,47.4332618713379,9.3950719833374,POINT (9.395071983337402 47.43326187133789),1076158.0,0.0,1076158.0,True,55.0,45.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,303.0,Osten,St.Fiden,St.Fiden-Krontal
3000428258,ZXW251OG9000,rent,2021-10-12 23:17:49,,1,810,,,,,,Teufenerstrasse 88,St. Gallen,9000.0,,,POINT(9.36524344608027 47.4156725695774),1071698.0,,1071698.0,False,67.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,203.0,Centrum,Riethüsli,Riethüsli
3000781315,Liegenschaftsverwaltung,rent,2021-10-12 23:28:17,,,1964,,,,113.0,1968.0,St. Jakobstrasse 91,St. Gallen,9000.0,,,POINT(9.38314563671964 47.4329525648893),1072953.0,0.164948453608248,1072953.0,True,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,207.0,Centrum,St.Jakob,St.Jakob
3000821708,864624.769746.092210a0-4915-11eb-a40c-005056bdbc06,rent,2021-10-12 19:05:18,,2,880,,,,,,Teufenerstrasse 146,St. Gallen,9000.0,,,POINT(9.3719659094126 47.4212103093551),,,,,,,,,,,,,,,,
3000827438,ZX35DG9000,rent,2021-10-13 09:12:54,,,1260,180.0,1080.0,,,,Teufenerstrasse 88,St. Gallen,9000.0,,,POINT(9.36524344608027 47.4156725695774),1071698.0,,1071698.0,False,67.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,203.0,Centrum,Riethüsli,Riethüsli
