id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy
108761792,hgok2876852,rent,2021-10-12T19:06:18,,4,1745,200,1545,,100,1900,Berneggstrasse 28,St. Gallen,9000,47.4208984375,9.37622547149658,POINT (9.376225471496582 47.4208984375),9003527,0.0384615384615384
2147994348,44.53.3003.499622.e75b7976-c57b-11e9-9cb0-a4bf01195aaa,rent,2021-10-12T19:08:41,,3,1720,,,,72,2017,Heiligkreuzstrasse 53,St. Gallen,9008,47.4404067993164,9.3939847946167,POINT (9.3939847946167 47.440406799316406),191521871,0.0
3000166218,21301.01.420030,rent,2021-10-12T20:47:01,,2,1150,,,,87,,Lindenstrasse 76,St. Gallen,9000,47.4330558776855,9.39382934570312,POINT (9.393829345703125 47.43305587768555),1076110,0.0609756097560976
3000251780,hgoe3023792,rent,2021-10-13T07:27:31,,2,1390,,,,80,,Feldlistrasse 11,St. Gallen,9000,47.4216995239258,9.35613536834717,POINT (9.356135368347168 47.42169952392578),1070469,0.111111111111111
3000275851,F62,rent,2021-10-12T20:47:03,,2,1180,,,,,1900,Falkensteinstrasse 62,St. Gallen,9000,47.4310455322266,9.39756965637207,POINT (9.39756965637207 47.43104553222656),1075915,
3000372352,ZXW119000,rent,2021-10-12T19:05:07,,2,840,,,,16,,Waldaustrasse 5,St. Gallen,9000,47.4201049804688,9.35318374633789,POINT (9.35318374633789 47.42010498046875),1070378,0.0
3000402506,03159.01.0132,rent,2021-10-12T19:06:30,,3,2130,240,1890,,97,1920,Goliathgasse 37,St. Gallen,9000,47.4279747009277,9.37712287902832,POINT (9.37712287902832 47.427974700927734),1072768,0.0
3000494951,51211.01.0201,rent,2021-10-12T20:45:42,,2,1440,340,1100,,97,1964,Bruggwaldstr. 1,St. Gallen,9008,47.4425010681152,9.39405155181885,POINT (9.394051551818848 47.442501068115234),,
3000538335,44031.01.430030,rent,2021-10-12T20:48:13,,3,1330,,,,90,,Oberstrasse 87,St. Gallen,9000,47.4164085388184,9.36261463165283,POINT (9.362614631652832 47.41640853881836),1071724,0.0344827586206897
3000688515,23037.02.410020,rent,2021-10-12T20:45:41,,1,1200,,,,77,,Langgasse 155,St. Gallen,9008,47.449348449707,9.39771270751953,POINT (9.397712707519531 47.44934844970703),1075536,0.0
3000763958,StGallen,rent,2021-10-12T19:05:02,,,550,,,,,,Schützengasse,St. Gallen,9000,47.423454284668,9.37246227264404,POINT (9.372462272644043 47.42345428466797),1072433,
3000768247,58.2..754267.77e7146c-2f15-11eb-b716-005056bdbc06,rent,2021-10-12T23:30:43,,3,910,,,,,,Röschstr. 9,St. Gallen,9000,47.4322547912598,9.39995670318604,POINT (9.399956703186035 47.432254791259766),1075808,
3000780700,xupkr.x371g,rent,2021-10-12T19:38:44,,2,1120,150,970,,85,1980,Oberstrasse 123,St. Gallen,9000,47.4147109985352,9.35912609100342,POINT (9.359126091003418 47.414710998535156),1069843,0.118421052631579
3000826878,10296.1.1001.1,rent,2021-10-12T19:38:36,,GF,1010,,,,,,Andreasstr. 2,St. Gallen,9000,47.4208297729492,9.3558349609375,POINT (9.3558349609375 47.42082977294922),1070457,
3000830705,23029.02.410010,rent,2021-10-12T23:17:47,,1,1540,190,1350,,84,1976,Sonnrainweg 6,St. Gallen,9008,47.4482727050781,9.39763641357422,POINT (9.397636413574219 47.448272705078125),1075538,0.4
3000836173,Langgasse.89.1402,rent,2021-10-12T19:05:08,,4,1090,,,,76,,Langgasse 89,St. Gallen,9008,47.4400329589844,9.39156341552734,POINT (9.391563415527344 47.440032958984375),1075179,0.155555555555556
3000861228,23030.02.410010,rent,2021-10-12T23:30:39,,1,1540,190,1350,,84,1976,Sonnrainweg 12,St. Gallen,9008,47.4477005004883,9.39766311645508,POINT (9.397663116455078 47.44770050048828),1075528,0.4
3000872761,3644.03.0002,rent,2021-10-12T19:38:48,,GF,1180,180,1000,,47,1919,Linsebühlstrasse 16,St. Gallen,9000,47.4243240356445,9.38075637817383,POINT (9.380756378173828 47.42432403564453),1073522,0.0930232558139534
3000873636,108402.02.00006,rent,2021-10-12T19:08:58,,GF,1640,,,,83,1920,Ludwigstr. 21,St. Gallen,9010,47.4412498474121,9.37837314605713,POINT (9.378373146057129 47.44124984741211),1074636,0.0
3000873652,153401.01.00203,rent,2021-10-12T19:38:50,,2,900,,,,71,1920,Tschudistr. 36,St. Gallen,9000,47.4163856506348,9.36409378051758,POINT (9.364093780517578 47.416385650634766),1071742,0.0142857142857142
3000873750,148101.01.00102,rent,2021-10-12T20:46:55,,1,1150,,,,77,1958,St. Georgen-Str. 39,St. Gallen,9000,47.4195594787598,9.37901306152344,POINT (9.379013061523438 47.419559478759766),1073294,0.0
3000883584,2380.1.10140,rent,2021-10-12T19:59:59,,2,850,,,,,,Iddastr. 19,St. Gallen,9008,47.436710357666,9.38644790649414,POINT (9.38644790649414 47.436710357666016),1075257,
3000888275,ZX429008,rent,2021-10-12T20:00:06,,2,1240,,,,71,,Langgasse 70,St. Gallen,9008,47.4388046264648,9.39048862457275,POINT (9.390488624572754 47.438804626464844),1074945,0.323809523809524
3000915459,10296.1.1007,rent,2021-10-13T09:12:46,,2,1240,180,1060,,,,Andreasstrasse 2,St. Gallen,9000,47.4208297729492,9.3558349609375,POINT (9.3558349609375 47.42082977294922),1070457,
3000922116,verwaltung,rent,2021-10-12T20:46:53,,4,1454,194,1260,,85,1968,Dianastrasse 10,St. Gallen,9000,47.4327964782715,9.38241004943848,POINT (9.382410049438477 47.432796478271484),1072947,0.37037037037037
3000924363,10254.1.1004.1,rent,2021-10-12T19:07:37,,1,790,,,,60,,Brauerstrasse 5,St. Gallen,9000,47.4337387084961,9.39980602264404,POINT (9.399806022644043 47.433738708496094),1076227,0.5
3000929497,3015532,rent,2021-10-13T09:12:50,,3,1250,170,1080,,80,,Eisengasse 3,St. Gallen,9000,47.4253387451172,9.38271808624268,POINT (9.382718086242676 47.42533874511719),1073608,0.0666666666666667
3000939647,139101.02.00102,rent,2021-10-12T19:08:57,,1,1550,,,,91,1950,Ludwigstr. 17,St. Gallen,9010,47.4409484863281,9.37808418273926,POINT (9.378084182739258 47.440948486328125),1074634,0.0
3000943788,10033.1.1041,rent,2021-10-12T20:47:02,,4,1370,140,1230,,69,1924,Buchentalstrasse 5,St. Gallen,9000,47.4334945678711,9.39832019805908,POINT (9.398320198059082 47.433494567871094),1076203,0.0
3000946773,05902.01.0005,rent,2021-10-12T23:17:47,,2,1540,280,1260,,85,1959,Langgasse 92,St. Gallen,9008,47.4403915405273,9.39240264892578,POINT (9.392402648925781 47.440391540527344),1075154,0.0240963855421688
3000946809,07006.01.1301,rent,2021-10-13T07:22:03,,3,1400,250,1150,,80,1920,Feldbachstrasse 10,St. Gallen,9000,47.4207611083984,9.3547191619873,POINT (9.354719161987305 47.42076110839844),1070846,0.0804597701149425
3000955021,8613.01.0312,rent,2021-10-12T19:08:59,,1,2120,305,1815,,117,1963,Sonnenhaldenstrasse 64,St. Gallen,9010,47.4397735595703,9.38191032409668,POINT (9.38191032409668 47.43977355957031),1074363,0.0
3000969216,Helvetiastr 41 06.807929.649217a9-88c4-11eb-a60b-005056bdbc06,rent,2021-10-12T23:30:43,,1,910,,,,45,,Helvetiastrasse 41,St. Gallen,9000,47.4332618713379,9.3950719833374,POINT (9.395071983337402 47.43326187133789),1076158,0.0
3000428258,ZXW251OG9000,rent,2021-10-12T23:17:49,,1,810,,,,,,Teufenerstrasse 88,St. Gallen,9000,,,POINT(9.36524344608027 47.4156725695774),1071698,
3000781315,Liegenschaftsverwaltung,rent,2021-10-12T23:28:17,,,1964,,,,113,1968,St. Jakobstrasse 91,St. Gallen,9000,,,POINT(9.38314563671964 47.4329525648893),1072953,0.164948453608248
3000821708,864624.769746.092210a0-4915-11eb-a40c-005056bdbc06,rent,2021-10-12T19:05:18,,2,880,,,,,,Teufenerstrasse 146,St. Gallen,9000,,,POINT(9.3719659094126 47.4212103093551),,
3000827438,ZX35DG9000,rent,2021-10-13T09:12:54,,,1260,180,1080,,,,Teufenerstrasse 88,St. Gallen,9000,,,POINT(9.36524344608027 47.4156725695774),1071698,
3000875562,10087.1.1011,rent,2021-10-13T09:12:39,,1,1290,230,1060,,72,,Teufenerstrasse 117,St. Gallen,9000,,,POINT(9.36380237534161 47.4139422047013),1071611,0.0909090909090908
3000879659,2050117.01.000008,rent,2021-10-13T07:29:00,,6,1070,,,,50,,Gebäude Wassergasse 22,St. Gallen,9000,,,POINT(9.37334044542846 47.4210973366961),2364146,0.230769230769231
3000904455,54633.01.0001,rent,2021-10-13T09:12:40,,GF,1290,250,1040,,86,1920,St. Georgenstr. 68,St. Gallen,9000,,,POINT(9.38132749461695 47.4176524914144),,
3000922117,Verwaltung,rent,2021-10-12T19:06:24,,2,1856,236,1620,,109,1968,St. Jakobstrasse 87,St. Gallen,9000,,,POINT(9.38268130761831 47.4325825081182),,
3000975218,4547.01.0501,rent,2021-10-13T07:37:05,,5,1400,,,,70,,Schwalbenstrasse 10,St. Gallen,9000,47.427001953125,9.38384819030762,POINT (9.383848190307617 47.427001953125),1073663,0.0277777777777778
3000976414,148101.01.00103,rent,2021-10-12T20:47:02,,1,1150,,,,77,1958,St. Georgen-Str. 39,St. Gallen,9000,47.4195594787598,9.37901306152344,POINT (9.379013061523438 47.419559478759766),1073294,0.0
3000981079,A18.355.132b,rent,2021-10-12T19:54:49,,4,1690,170,1520,,75,2016,Altmannstrasse 18,St. Gallen,9012,47.4130172729492,9.36433792114258,POINT (9.364337921142578 47.41301727294922),191428671,0.0273972602739727
3000999080,3068710,rent,2021-10-12T20:45:44,,2,1500,,,,90,,Bernhardswiesstrasse 9,St. Gallen,9014,47.4086647033691,9.34245109558105,POINT (9.342451095581055 47.40866470336914),1069715,0.0109890109890109
3000999081,3051663,rent,2021-10-12T23:09:54,,7,1070,,,,50,,Bernhardswiesstrasse 11,St. Gallen,9014,47.4083480834961,9.34207916259766,POINT (9.342079162597656 47.408348083496094),1069662,0.0416666666666667
3001095694,7331.01.0014,rent,2021-10-12T23:30:39,,3,1320,,,,88,1972,Langgasse 108/110,St. Gallen,9008,,,POINT(9.39391377617665 47.441659805834),1075149,0.113924050632911
3001014618,999940.01.00409,rent,2021-10-12T19:06:29,,4,1860,,,,161,2009,Isenringweg 3,St. Gallen,9000,47.420238494873,9.35236835479736,POINT (9.352368354797363 47.42023849487305),190426029,0.0359281437125748
3001016630,23036.02.410020,rent,2021-10-12T23:30:41,,1,1290,,,,94,,Langgasse 165,St. Gallen,9008,47.4505348205566,9.39797592163086,POINT (9.39797592163086 47.45053482055664),2363507,0.0105263157894737
3001027277,172901.01.00401,rent,2021-10-12T19:06:28,,4,1790,380,1410,,125,1920,Stahlstr. 5,St. Gallen,9000,47.4210357666016,9.35638999938965,POINT (9.356389999389648 47.42103576660156),1070453,0.0
3001102451,16.180.42,rent,2021-10-12T19:54:52,,1,1080,,,,110,,Teufenerstrasse 180,St. Gallen,9012,,,POINT(9.36907626387543 47.4076913597964),1071327,0.294117647058824
3001030845,3124414,rent,2021-10-13T07:37:05,,3,1610,280,1330,,100,1953,Burgstrasse 64,St. Gallen,9000,47.4174880981445,9.35832500457764,POINT (9.358325004577637 47.41748809814453),1070219,0.0
3001030847,3124412,rent,2021-10-12T20:47:04,,GF,1380,280,1100,,90,1953,Burgstrasse 64,St. Gallen,9000,47.4174880981445,9.35832500457764,POINT (9.358325004577637 47.41748809814453),1070219,0.125
3001030848,3124413,rent,2021-10-13T07:28:40,,2,1900,280,1620,,100,1953,Burgstrasse 64,St. Gallen,9000,47.4174880981445,9.35832500457764,POINT (9.358325004577637 47.41748809814453),1070219,0.0
3001031567,6170.02.0019,rent,2021-10-12T19:07:44,,2,1390,200,1190,,76,1968,Zilstrasse 4a,St. Gallen,9016,47.4408798217773,9.4041633605957,POINT (9.404163360595703 47.440879821777344),1076953,0.0410958904109588
3001042243,2000203.01.000010,rent,2021-10-12T20:48:11,,2,1350,,,,140,,Bleichestrasse 11,St. Gallen,9000,47.4216804504395,9.37221050262451,POINT (9.372210502624512 47.42168045043945),1072387,0.555555555555556
3001042251,1212.01.0301,rent,2021-10-12T21:06:34,,3,1490,,,,102,1970,Achslenstr. 5,St. Gallen,9016,47.4326629638672,9.41385936737061,POINT (9.413859367370605 47.43266296386719),1076513,0.0
3001042300,7160.01.0009,rent,2021-10-12T19:53:43,,2,1290,170,1120,,64,1969,Zilstrasse 14,St. Gallen,9016,47.4414825439453,9.40545177459717,POINT (9.405451774597168 47.44148254394531),1076948,0.0491803278688525
3001051234,10738.10738.1012,rent,2021-10-12T19:05:00,,1,600,,,,,,Brauerstrasse 3,St. Gallen,9000,47.4337310791016,9.39962577819824,POINT (9.399625778198242 47.43373107910156),1076226,
3001052159,3134224,rent,2021-10-12T19:08:59,,1,2000,,,,100,,Kirchlistrasse 1,St. Gallen,9010,47.4400367736816,9.37997150421143,POINT (9.379971504211426 47.44003677368164),1074437,0.0
3001052160,3134225,rent,2021-10-12T19:08:56,,,1100,,,,65,,Kirchlistrasse 1,St. Gallen,9010,47.4400367736816,9.37997150421143,POINT (9.379971504211426 47.44003677368164),1074437,0.35
3001065041,830963.a51670d4-b258-11eb-820b-005056bdbc06,rent,2021-10-13T07:37:01,,4,1340,,,,,,Neugasse 20,St. Gallen,9000,47.4253005981445,9.37511825561523,POINT (9.375118255615234 47.42530059814453),,
3001076509,812650.47c33fd4-91f6-11eb-968e-005056bdbc06,rent,2021-10-12T20:00:02,,3,600,,,,14,,Waldstrasse 5,St. Gallen,9008,47.4424133300781,9.39263439178467,POINT (9.392634391784668 47.442413330078125),1075173,0.813333333333333
3001077557,7835.01.0203,rent,2021-10-12T19:38:46,,2,990,,,,61,1952,Grossackerstr. 10,St. Gallen,9000,47.4292640686035,9.39270114898682,POINT (9.392701148986816 47.429264068603516),1075967,0.0
3001077667,23029.02.420030,rent,2021-10-12T20:00:01,,2,760,60,700,,24,1976,Sonnrainweg 6,St. Gallen,9008,47.4482727050781,9.39763641357422,POINT (9.397636413574219 47.448272705078125),1075538,0.2
3001077672,23036.01.410020,rent,2021-10-12T23:30:40,,1,1270,,,,94,,Langgasse 163,St. Gallen,9008,47.4503021240234,9.39786911010742,POINT (9.397869110107422 47.45030212402344),2363506,0.0105263157894737
3001077981,53223.01.0102,rent,2021-10-12T19:08:55,,1,790,,,,,1900,Lettenstrasse 1,St. Gallen,9008,47.4395065307617,9.39586925506592,POINT (9.395869255065918 47.43950653076172),1075117,
3001078279,146.1.42.834226.51285f4c-b92f-11eb-820b-005056bdbc06,rent,2021-10-12T19:38:46,,4,1050,,,,,,Linsebühlstrasse 18,St. Gallen,9000,47.4243431091309,9.38104820251465,POINT (9.381048202514648 47.42434310913086),1073523,
3001082656,4165.4021,rent,2021-10-12T19:05:09,,2,1070,,,,83,1920,Langgasse 63,St. Gallen,9008,47.4384689331055,9.3895092010498,POINT (9.389509201049805 47.43846893310547),1075212,0.0375000000000001
3001087436,146.1.10.800384.d8ee1213-8011-11eb-8e73-005056bdbc06,rent,2021-10-12T19:05:01,,3,550,,,,,,Linsebühlstrasse 18,St. Gallen,9000,47.4243431091309,9.38104820251465,POINT (9.381048202514648 47.42434310913086),1073523,
3001090245,900002.1.200520009,rent,2021-10-12T23:07:30,,GF,1700,,,,,1954,Unterstrasse 52,St. Gallen,9000,47.4184684753418,9.36614322662354,POINT (9.366143226623535 47.4184684753418),2364098,
3001091170,07439.01.0050,rent,2021-10-12T19:07:40,,1,1620,240,1380,,99,1981,Tablatstr. 12,St. Gallen,9016,47.4376907348633,9.42048072814941,POINT (9.420480728149414 47.43769073486328),1076853,0.0
3001093133,3645.02.0101,rent,2021-10-12T19:06:27,,1,1590,,,,68,1879,Spisergasse 27,St. Gallen,9000,47.4246826171875,9.37836074829102,POINT (9.378360748291016 47.4246826171875),1072622,0.0
3001095313,25.19.101.837336.6d92dd63-bf82-11eb-bac8-005056bdbc06,rent,2021-10-12T19:07:45,,GF,1350,150,1200,,77,,Vogelherdstrasse 19,St. Gallen,9016,47.4366264343262,9.42048454284668,POINT (9.42048454284668 47.43662643432617),190357488,0.324561403508772
3001096690,A8705,rent,2021-10-12T19:06:25,,1,1620,,,,95,,Demutstrasse 7,St. Gallen,9000,47.4175682067871,9.38098335266113,POINT (9.380983352661133 47.41756820678711),1071984,0.05
3001096691,A8706,rent,2021-10-12T19:06:27,,2,1590,,,,90,,Demutstrasse 7,St. Gallen,9000,47.4175682067871,9.38098335266113,POINT (9.380983352661133 47.41756820678711),1071984,0.0
3001100107,(6063450),rent,2021-10-13T07:28:53,,4,1150,,,,98,,Glaserstrasse 3A,St. Gallen,9000,47.4188766479492,9.35424995422363,POINT (9.354249954223633 47.41887664794922),1070264,0.306666666666667
3001102989,U32,rent,2021-10-12T20:47:00,,5,1180,,,,55,,Büchelstrasse 4,St. Gallen,9000,47.4205780029297,9.36482524871826,POINT (9.364825248718262 47.42057800292969),1071065,0.0833333333333334
3001010961,ZXW25DM9000,rent,2021-10-12T19:38:41,,2,960,,,,,,Teufenerstrasse 88,St. Gallen,9000,,,POINT(9.36524344608027 47.4156725695774),1071698,
3001044707,53013.01.0116,rent,2021-10-12T21:06:38,,1,1640,220,1420,,95,1997,Kublystrasse 22 - 23a,St. Gallen,9016,,,POINT(9.41600186989968 47.4336637136272),2364612,0.0
3001059539,5242.goldinger.SM319.2110,rent,2021-10-12T23:09:53,,4,990,,,,65,,Zürcherstrasse 284,St. Gallen,9014,,,POINT(9.32876873005486 47.4082678608842),1069053,0.0833333333333333
3001076521,4992.1011,rent,2021-10-13T07:28:43,,1,1450,,,,,,Rorschacherstrasse 165,St. Gallen,9000,,,POINT(9.39699885636754 47.4321608732295),1076144,
3001443977,47738127,rent,2021-10-23T15:30:01,,,990,,,,51,,Rorschacherstrasse 231,St. Gallen,9016,,,POINT(9.40349168190317 47.4360003180019),1076336,
3001105858,836842.26f5baab-bec8-11eb-bac8-005056bdbc06,rent,2021-10-12T19:38:49,,4,1180,150,1030,,61,,Metallstrasse 12,St. Gallen,9000,47.4203109741211,9.35544681549072,POINT (9.355446815490723 47.420310974121094),1070425,
3001111355,5419.07.0075,rent,2021-10-12T21:06:37,,2,1450,,,,100,1979,Zilweg 7,St. Gallen,9016,47.442310333252,9.40835094451904,POINT (9.408350944519043 47.44231033325195),1077112,0.0
