id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,price_per_sqm,price_per_room,flat_cat,cat,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc
108761792,hgok2876852,rent,2021-10-12 19:06:18,,4,1745,200.0,1545.0,,100,1900.0,Berneggstrasse 28,St. Gallen,9000,47.4208984375,9.37622547149658,POINT (9.376225471496582 47.4208984375),9003527,0.0384615384615384,17.45,436.25,M,c,9003527,False,,,,,,,,True,204,Centrum,St.Georgen,St.Georgen-Bernegg
2147994348,44.53.3003.499622.e75b7976-c57b-11e9-9cb0-a4bf01195aaa,rent,2021-10-12 19:08:41,,3,1720,,,,72,2017.0,Heiligkreuzstrasse 53,St. Gallen,9008,47.4404067993164,9.3939847946167,POINT (9.3939847946167 47.440406799316406),191521871,0.0,23.88888888888889,573.3333333333334,M,d,191521871,False,66.0,58.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000166218,21301.01.420030,rent,2021-10-12 20:47:01,,2,1150,,,,87,,Lindenstrasse 76,St. Gallen,9000,47.4330558776855,9.39382934570312,POINT (9.393829345703125 47.43305587768555),1076110,0.0609756097560976,13.218390804597702,383.3333333333333,M,c,1076110,False,60.0,48.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,303,Osten,St.Fiden,St.Fiden-Krontal
3000251780,hgoe3023792,rent,2021-10-13 07:27:31,,2,1390,,,,80,,Feldlistrasse 11,St. Gallen,9000,47.4216995239258,9.35613536834717,POINT (9.356135368347168 47.42169952392578),1070469,0.111111111111111,17.375,463.3333333333333,M,d,1070469,False,60.0,48.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3000402506,03159.01.0132,rent,2021-10-12 19:06:30,,3,2130,240.0,1890.0,,97,1920.0,Goliathgasse 37,St. Gallen,9000,47.4279747009277,9.37712287902832,POINT (9.37712287902832 47.427974700927734),1072768,0.0,21.95876288659794,532.5,M,d,1072768,False,64.0,57.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,206,Centrum,Innenstadt,Altstadt
3000538335,44031.01.430030,rent,2021-10-12 20:48:13,,3,1330,,,,90,,Oberstrasse 87,St. Gallen,9000,47.4164085388184,9.36261463165283,POINT (9.362614631652832 47.41640853881836),1071724,0.0344827586206897,14.777777777777779,332.5,M,c,1071724,True,66.0,56.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,203,Centrum,Riethüsli,Riethüsli
3000688515,23037.02.410020,rent,2021-10-12 20:45:41,,1,1200,,,,77,,Langgasse 155,St. Gallen,9008,47.449348449707,9.39771270751953,POINT (9.397712707519531 47.44934844970703),1075536,0.0,15.584415584415584,400.0,M,c,1075536,False,66.0,57.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000780700,xupkr.x371g,rent,2021-10-12 19:38:44,,2,1120,150.0,970.0,,85,1980.0,Oberstrasse 123,St. Gallen,9000,47.4147109985352,9.35912609100342,POINT (9.359126091003418 47.414710998535156),1069843,0.118421052631579,13.176470588235293,280.0,M,b,1069843,False,64.0,55.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,111,Westen,Bruggen,Haggen-Oberstrasse-Langweid
3000830705,23029.02.410010,rent,2021-10-12 23:17:47,,1,1540,190.0,1350.0,,84,1976.0,Sonnrainweg 6,St. Gallen,9008,47.4482727050781,9.39763641357422,POINT (9.397636413574219 47.448272705078125),1075538,0.4,18.333333333333332,513.3333333333334,M,d,1075538,True,62.0,53.0,ES II,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000836173,Langgasse.89.1402,rent,2021-10-12 19:05:08,,4,1090,,,,76,,Langgasse 89,St. Gallen,9008,47.4400329589844,9.39156341552734,POINT (9.391563415527344 47.440032958984375),1075179,0.155555555555556,14.342105263157896,272.5,M,b,1075179,False,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000861228,23030.02.410010,rent,2021-10-12 23:30:39,,1,1540,190.0,1350.0,,84,1976.0,Sonnrainweg 12,St. Gallen,9008,47.4477005004883,9.39766311645508,POINT (9.397663116455078 47.44770050048828),1075528,0.4,18.333333333333332,513.3333333333334,M,d,1075528,True,53.0,44.0,ES II,Wohnen,≤PW,≤PW,≤PW,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3000872761,3644.03.0002,rent,2021-10-12 19:38:48,,GF,1180,180.0,1000.0,,47,1919.0,Linsebühlstrasse 16,St. Gallen,9000,47.4243240356445,9.38075637817383,POINT (9.380756378173828 47.42432403564453),1073522,0.0930232558139534,25.106382978723403,590.0,S,d,1073522,True,66.0,55.0,ES III,Wohnen,">IGW, <AW",">PW, ≤IGW",">IGW, <AW",False,208,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3000873636,108402.02.00006,rent,2021-10-12 19:08:58,,GF,1640,,,,83,1920.0,Ludwigstr. 21,St. Gallen,9010,47.4412498474121,9.37837314605713,POINT (9.378373146057129 47.44124984741211),1074636,0.0,19.759036144578314,546.6666666666666,M,d,1074636,False,,,,,,,,True,301,Osten,Rotmonten,Rotmonten
3000873652,153401.01.00203,rent,2021-10-12 19:38:50,,2,900,,,,71,1920.0,Tschudistr. 36,St. Gallen,9000,47.4163856506348,9.36409378051758,POINT (9.364093780517578 47.416385650634766),1071742,0.0142857142857142,12.67605633802817,225.0,M,b,1071742,False,,,,,,,,True,203,Centrum,Riethüsli,Riethüsli
3000873750,148101.01.00102,rent,2021-10-12 20:46:55,,1,1150,,,,77,1958.0,St. Georgen-Str. 39,St. Gallen,9000,47.4195594787598,9.37901306152344,POINT (9.379013061523438 47.419559478759766),1073294,0.0,14.935064935064934,287.5,M,b,1073294,False,63.0,53.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,208,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
