name,score,description,category,label,_geom
7tnPKgoJbWY7TLKC5xn7yA,36.22394403284855,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/7tnPKgoJbWY7TLKC5xn7yA""><img style=""width:200px"" src=""https://images.mapillary.com/7tnPKgoJbWY7TLKC5xn7yA/thumb-320.jpg""></a><br>Streetwise Score: 36.22394403284855",3,+,POINT (9.3609811 47.4165223)
y3VBcV4nzY74PNA4r1LM3g,35.35391084748503,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/y3VBcV4nzY74PNA4r1LM3g""><img style=""width:200px"" src=""https://images.mapillary.com/y3VBcV4nzY74PNA4r1LM3g/thumb-320.jpg""></a><br>Streetwise Score: 35.35391084748503",3,+,POINT (9.3612334 47.4166516)
vrNxCp4HF7ok26HEer501Q,27.67470406081218,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/vrNxCp4HF7ok26HEer501Q""><img style=""width:200px"" src=""https://images.mapillary.com/vrNxCp4HF7ok26HEer501Q/thumb-320.jpg""></a><br>Streetwise Score: 27.67470406081218",2,0,POINT (9.3615663 47.4167867)
kNRjTKCBfB50K9HLvHcpHg,38.511997489466424,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/kNRjTKCBfB50K9HLvHcpHg""><img style=""width:200px"" src=""https://images.mapillary.com/kNRjTKCBfB50K9HLvHcpHg/thumb-320.jpg""></a><br>Streetwise Score: 38.511997489466424",3,+,POINT (9.361930299999999 47.4169025)
YNhOcp0KtItW-yLCmQ696Q,34.88214747116874,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/YNhOcp0KtItW-yLCmQ696Q""><img style=""width:200px"" src=""https://images.mapillary.com/YNhOcp0KtItW-yLCmQ696Q/thumb-320.jpg""></a><br>Streetwise Score: 34.88214747116874",3,+,POINT (9.362303000000001 47.4170094)
vr8uqoDscek0B_OSg5sGXQ,33.97797730289564,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/vr8uqoDscek0B_OSg5sGXQ""><img style=""width:200px"" src=""https://images.mapillary.com/vr8uqoDscek0B_OSg5sGXQ/thumb-320.jpg""></a><br>Streetwise Score: 33.97797730289564",3,+,POINT (9.3626501 47.41713)
SoaZtZLjG_lYqX-odnMPOg,37.31037283122634,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/SoaZtZLjG_lYqX-odnMPOg""><img style=""width:200px"" src=""https://images.mapillary.com/SoaZtZLjG_lYqX-odnMPOg/thumb-320.jpg""></a><br>Streetwise Score: 37.31037283122634",3,+,POINT (9.3629452 47.4172577)
w0qvq4-0ICJW0mDziUxMhg,30.058865422823025,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/w0qvq4-0ICJW0mDziUxMhg""><img style=""width:200px"" src=""https://images.mapillary.com/w0qvq4-0ICJW0mDziUxMhg/thumb-320.jpg""></a><br>Streetwise Score: 30.058865422823025",3,+,POINT (9.3632618 47.4174046)
dcXyK0KqwXJF9bxGPKBvvA,23.802059468404924,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/dcXyK0KqwXJF9bxGPKBvvA""><img style=""width:200px"" src=""https://images.mapillary.com/dcXyK0KqwXJF9bxGPKBvvA/thumb-320.jpg""></a><br>Streetwise Score: 23.802059468404924",2,0,POINT (9.3635926 47.4175579)
9wu0Y_QtrgCpg4AupGmmGQ,31.466630980690862,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/9wu0Y_QtrgCpg4AupGmmGQ""><img style=""width:200px"" src=""https://images.mapillary.com/9wu0Y_QtrgCpg4AupGmmGQ/thumb-320.jpg""></a><br>Streetwise Score: 31.466630980690862",3,+,POINT (9.3639203 47.4177068)
CAJQ-wra561ycxQSUUIjAQ,32.893733551179935,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/CAJQ-wra561ycxQSUUIjAQ""><img style=""width:200px"" src=""https://images.mapillary.com/CAJQ-wra561ycxQSUUIjAQ/thumb-320.jpg""></a><br>Streetwise Score: 32.893733551179935",3,+,POINT (9.3642004 47.4178326)
EGL0t1t-t5UXMioo53woIA,34.75700074153562,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/EGL0t1t-t5UXMioo53woIA""><img style=""width:200px"" src=""https://images.mapillary.com/EGL0t1t-t5UXMioo53woIA/thumb-320.jpg""></a><br>Streetwise Score: 34.75700074153562",3,+,POINT (9.364484600000001 47.4179595)
OlSMkcIJHOyNAlBBdk70Ig,34.35969042951168,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/OlSMkcIJHOyNAlBBdk70Ig""><img style=""width:200px"" src=""https://images.mapillary.com/OlSMkcIJHOyNAlBBdk70Ig/thumb-320.jpg""></a><br>Streetwise Score: 34.35969042951168",3,+,POINT (9.364723 47.4180675)
